"Filiale";"Warengruppe";"Stück";"Umsatz";"Kosten"
"Mainz";"Textil";9;1000.0;900.0
"Berlin";"Textil";13;1150.0;1000.0
"München";"Lebensmittel";60;1150.0;1100.0
"Kiel";"Textil";12;1200.0;999.99
"Berlin";"Elektro";70;1200.0;1150.0
"Hamburg";"Textil";13;1250.0;1100.0
"Hamburg";"Elektro";8;1300.0;1150.0
"Frankfurt";"Elektro";8;1350.0;1200.0
"Stuttgart";"Textil";11;1500.0;1100.0
"Köln";"Lebensmittel";63;1550.0;1150.0
"Berlin";"Elektro";9;1550.0;1350.0
"Bonn";"Elektro";10;1600.0;1400.0
"Rostock";"Textil";14;1750.0;1350.0
"Leipzig";"Textil";20;1800.0;1500.0
"Mainz";"Textil";16;1900.0;1500.0
"Köln";"Elektro";18;1950.0;1600.0
"Wiesbaden";"Lebensmittel";75;1950.0;1600.0
